Tỉnh/Thành phố trực thuộc trung ương,2019,2020,2021,2022,2023,2024
Hà Nội,Tụt hậu,Tụt hậu,Dẫn đầu,Dẫn đầu,Dẫn đầu,Đang chuyển đổi
Cao Bằng,Dẫn đầu,Đang chuyển đổi,Tụt hậu,Tụt hậu,Tụt hậu,Tụt hậu
Tuyên Quang,Tụt hậu,Dẫn đầu,Đang chuyển đổi,Đang chuyển đổi,Đang chuyển đổi,Đang chuyển đổi
Lào Cai,Đang chuyển đổi,Đang chuyển đổi,Tụt hậu,Tụt hậu,Đang chuyển đổi,Tụt hậu
Điện Biên,Đang chuyển đổi,Tụt hậu,Tụt hậu,Tụt hậu,Đang chuyển đổi,Tụt hậu
Lai Châu,Tụt hậu,Tụt hậu,Đang chuyển đổi,Đang chuyển đổi,Dẫn đầu,Đang chuyển đổi
Sơn La,Dẫn đầu,Tụt hậu,Tụt hậu,Tụt hậu,Đang chuyển đổi,Đang chuyển đổi
Thái Nguyên,Tụt hậu,Dẫn đầu,Đang chuyển đổi,Đang chuyển đổi,Dẫn đầu,Dẫn đầu
Lạng Sơn,Đang chuyển đổi,Đang chuyển đổi,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu
Quảng Ninh,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu,Đang chuyển đổi,Dẫn đầu
Phú Thọ,Đang chuyển đổi,Đang chuyển đổi,Dẫn đầu,Dẫn đầu,Dẫn đầu,Đang chuyển đổi
Bắc Ninh,Đang chuyển đổi,Dẫn đầu,Đang chuyển đổi,Tụt hậu,Dẫn đầu,Dẫn đầu
Hải Phòng,Đang chuyển đổi,Đang chuyển đổi,Dẫn đầu,Đang chuyển đổi,Tụt hậu,Tụt hậu
Hưng Yên,Tụt hậu,Đang chuyển đổi,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu
Ninh Bình,Dẫn đầu,Dẫn đầu,Dẫn đầu,Đang chuyển đổi,Đang chuyển đổi,Đang chuyển đổi
Thanh Hóa,Đang chuyển đổi,Đang chuyển đổi,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu
Nghệ An,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu,Đang chuyển đổi,Đang chuyển đổi
Hà Tĩnh,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu
Quảng Trị,Dẫn đầu,Dẫn đầu,Đang chuyển đổi,Đang chuyển đổi,Đang chuyển đổi,Đang chuyển đổi
Thừa Thiên-Huế,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu,Dẫn đầu
Đà Nẵng,Dẫn đầu,Đang chuyển đổi,Đang chuyển đổi,Đang chuyển đổi,Tụt hậu,Tụt hậu
Quảng Ngãi,Tụt hậu,Tụt hậu,Tụt hậu,Đang chuyển đổi,Tụt hậu,Tụt hậu
Khánh Hòa,Tụt hậu,Tụt hậu,Đang chuyển đổi,Dẫn đầu,Dẫn đầu,Dẫn đầu
Gia Lai,Tụt hậu,Đang chuyển đổi,Tụt hậu,Tụt hậu,Tụt hậu,Tụt hậu
Đắk Lắk,Tụt hậu,Tụt hậu,Tụt hậu,Tụt hậu,Tụt hậu,Tụt hậu
Lâm Đồng,Tụt hậu,Tụt hậu,Đang chuyển đổi,Đang chuyển đổi,Tụt hậu,Đang chuyển đổi
Tây Ninh,Tụt hậu,Tụt hậu,Đang chuyển đổi,Tụt hậu,Tụt hậu,Dẫn đầu
Đồng Nai,Đang chuyển đổi,Đang chuyển đổi,Tụt hậu,Tụt hậu,Tụt hậu,Tụt hậu
TP. Hồ Chí Minh,Đang chuyển đổi,Tụt hậu,Đang chuyển đổi,Đang chuyển đổi,Đang chuyển đổi,Đang chuyển đổi
Vĩnh Long,Dẫn đầu,Dẫn đầu,Tụt hậu,Tụt hậu,Tụt hậu,Tụt hậu
Đồng Tháp,Dẫn đầu,Dẫn đầu,Tụt hậu,Tụt hậu,Tụt hậu,Đang chuyển đổi
An Giang,Đang chuyển đổi,Đang chuyển đổi,Tụt hậu,Tụt hậu,Tụt hậu,Tụt hậu
Cần Thơ,Đang chuyển đổi,Tụt hậu,Tụt hậu,Đang chuyển đổi,Đang chuyển đổi,Tụt hậu
Cà Mau,Tụt hậu,Tụt hậu,Đang chuyển đổi,Dẫn đầu,Đang chuyển đổi,Dẫn đầu
