Tỉnh/Thành phố trực thuộc trung ương,Tỉnh/Thành phố trực thuộc trung ương.1,Thang điểm,Hà Nội,Cao Bằng,Tuyên Quang,Lào Cai,Điện Biên,Lai Châu,Sơn La,Thái Nguyên,Lạng Sơn,Quảng Ninh,Phú Thọ,Bắc Ninh,Hải Phòng,Hưng Yên,Ninh Bình,Thanh Hóa,Nghệ An,Hà Tĩnh,Quảng Trị,Thừa Thiên-Huế,Đà Nẵng,Quảng Ngãi,Khánh Hòa,Gia Lai,Đắk Lắk,Lâm Đồng,Tây Ninh,Đồng Nai,TP. Hồ Chí Minh,Vĩnh Long,Đồng Tháp,An Giang,Cần Thơ,Cà Mau
Unweighted PAPI Score,Chỉ số PAPI tổng hợp (không có trọng số),10-80 điểm/points,43.96030426,41.65514755,42.951936836470594,42.310403708235285,42.02043152,43.62225723,42.39655685,45.35707451588235,43.47776794,,43.45306810083333,44.93110892147058,41.93830666878049,43.94929134625,43.02974259368421,44.20421982,42.84729385,45.42914963,42.11196613,46.04153824,41.51634216,40.31315612666666,45.11986682157895,41.8923561316129,41.71377413857143,41.112656215757575,40.17229251482759,39.92095459372093,42.08929443598131,40.376686444242424,40.4586300582353,41.42891177378378,42.412106278124995,42.45100021428571
Unweighted 95% CI Low,Chỉ số PAPI tổng hợp (không có trọng số) - điểm tối thiểu trong khoảng tin cậy 95%,,43.70091629,41.33759689,42.01130496705881,39.98706907411765,41.63843536,42.9952774,41.53792953,43.71074474411765,41.34563446,,42.807854970833326,44.40991300382353,40.584427349512204,42.786201598125,42.23860590184211,43.77111816,42.40984726,45.11934662,41.66956997125,45.18320465,40.75667190333333,39.905127203333336,44.511417588421054,41.23271622129032,41.34710107607143,39.45734000909091,38.71905978103448,39.37055348069767,41.769959747757014,38.8796758930303,40.11871472352941,40.512489520540534,41.34025764593749,42.03446033714285
Unweighted 95% CI High,Chỉ số PAPI tổng hợp (không có trọng số) - điểm tối đa trong khoảng tin cậy 95%,,44.21969223,41.97269821,43.892568701176465,44.633738347058824,42.40242767,44.24923706,43.25518417,47.00340427941176,45.60990143,,44.0982812275,45.452304839117645,43.29218599292684,45.112381100312504,43.82087928552632,44.63732147,43.28474045,45.73895264,42.55436229875,46.89987183,42.27601242111111,40.72118505000001,45.72831605842106,42.55199604709677,42.08044719428572,42.76797242636364,41.62552524275862,40.47135570674419,42.40862912308411,41.87369699545455,40.79854538764705,42.34533403216216,43.483954908125,42.86754008571428
Unweighted Standard Error,Chỉ số PAPI tổng hợp (không có trọng số) - sai số ,,0.1576850861,0.1930448562,0.5718245506294117,1.412391172,0.2322219014,0.3811515868,0.5219731331,1.0008291515705883,1.296157002,,0.39223467310833326,0.3168426949,0.8230447158439025,0.707060272903125,0.4809438598105263,0.2632894516,0.265930593,0.1883338392,0.26893998218125,0.521795094,0.4618151485888889,0.2480469743666667,0.3698861253684211,0.40100487103225807,0.2229066688107143,1.0062925464,0.8834432160827587,0.33459794039534885,0.19412834570280377,0.9100558620909092,0.20663973605294114,0.557107248035135,0.651593198103125,0.2532208944857143
Dimension 1: Participation,Chỉ số nội dung 1: Tham gia của người dân ở cấp cơ sở,1-10 điểm/points,5.427534103,4.772977829,5.134836505529412,4.860209044470588,4.69644022,4.96635294,4.891806126,5.826978992470589,5.30915308,,5.299532572416667,5.558698415882353,4.960473537731708,5.401181906718749,5.365359444447368,5.769455433,5.085555553,5.763524532,5.226853370562499,5.343459606,4.859614689999999,4.772453149,5.035912162421053,4.655681487000001,4.633677380821429,4.9946762866363645,4.306470459931035,4.3809939428837215,4.609774679028038,4.298631277636364,3.799491153470588,4.148707866459459,4.3784917741875,4.326218332571429
Civic Knowledge,1.1: Tri thức công dân,0.25-2.5 điểm,1.323925018,0.9374423623,1.013398030588235,0.9703161470764705,0.8473427296,0.9262071252,0.9472290874,1.1850848757058823,0.9272311926,,1.049850677325,1.2054315877941177,1.0130116098048783,1.1301445848749998,1.1032548700263156,1.148495317,1.041896462,1.274264574,1.1073655709999999,1.04350853,1.0897378656666665,0.9298890034333335,1.0888840773157895,1.049402752032258,0.9391696772,0.9549048165181819,0.9151168280517242,0.9175063024837208,1.1079207181308413,0.950561411409091,0.7471089328352941,0.8308270235324324,0.8912147936468748,1.0017817192
Proportion with Civic Knowledge,Hiểu biết về chính sách hiện hành (%),0%-100%,0.7452721,0.4832981229,0.6225922142823528,0.6299395456058824,0.5150438547,0.619812429,0.5265001059,0.6905016408294118,0.6118381619,,0.5497647945916666,0.6854427404411765,0.5269036271390245,0.607269603759375,0.5798633114421052,0.560921669,0.5782380104,0.7340014577,0.7169390693625,0.6208766103,0.6055963900444444,0.5003338654666667,0.7163115175210526,0.583644511251613,0.5401320117107142,0.5794131430939394,0.5442779660448276,0.5324286360837208,0.6571566111261683,0.5051971637909091,0.41110200565294114,0.4358793730675675,0.5620620222687499,0.6116336414142857
Knowledge of Leaders,Hiểu biết về vị trí lãnh đạo (%),0%-100%,0.5819639564,0.3694108129,0.3672799397705882,0.32531125051764703,0.2734494209,0.2911667824,0.3565091193,0.48593579320588237,0.296064198,,0.4360959977083333,0.5065511798000001,0.4147807236243903,0.47871593851562505,0.46851711681578945,0.5182016492,0.4147889912,0.5434566736,0.40363318656249997,0.3949025869,0.44363547362222217,0.35417885583333336,0.38751895645263157,0.4187579712741936,0.34252926172500003,0.33687548292727276,0.3190759687517241,0.3271246032395349,0.4340178462121495,0.37012267382727276,0.23632360295882351,0.29835100274594595,0.28893771251562494,0.36243362084285713
Opportunties for Participation in Elections,1.2: Cơ hội tham gia,0.25-2.5 điểm/points,1.622657418,1.492867827,1.5876449766470586,1.449199262882353,1.454095483,1.666320443,1.507677197,1.7194978701764705,1.849446654,,1.6803375184999998,1.6254483356470588,1.5970994436585368,1.6514302227187498,1.659401206605263,1.785367131,1.539425492,1.624636173,1.5881475954375002,1.771642208,1.4622813725555555,1.2867931526666667,1.396048502263158,1.359832894096774,1.3552798202142857,1.4642873172121211,1.3311683063793103,1.2393101399534883,1.1130637204392524,1.114328763969697,1.0370049967058823,1.141824590081081,1.0061720983937499,1.1738286528571429
Participated in Formal Associations,"Tham gia vào các tổ chức chính trị, chính trị-xã hội, đoàn thể (%)",0%-100%,0.4377283454,0.5459208488,0.5591789694235293,0.5162500668941176,0.5843617916,0.5498242974,0.5890285969,0.6565751433470588,0.5695707798,,0.6486021628249999,0.5828366016705883,0.49597412783658545,0.62926248275,0.5674956582184211,0.6069838405,0.5984313488,0.6579384208,0.6376001872125,0.6372727752,0.44740730191111105,0.380626142,0.35175573508421054,0.4449265435709678,0.4536069695785714,0.3613752758818182,0.2744745057586207,0.34262488539767444,0.26715351571214957,0.25769431934545456,0.24332329715882348,0.22663601308108108,0.23631795681874998,0.2992677773714285
Participated in Informal Associations,"Tham gia vào các tổ chức xã hội, hội, nhóm, câu lạc bộ tự lập (%)",0%-100%,0.1877503544,0.06490206718,0.17336353045882352,0.10879454103705882,0.2011540681,0.1151360646,0.1655048281,0.23447321706470586,0.148577705,,0.199137698825,0.2275217850470588,0.17055697811707318,0.18166864664062496,0.26605983589210525,0.2037945837,0.1260891706,0.329218328,0.20705843440625,0.1675973982,0.18642880846666665,0.11949534216666667,0.12479653172631579,0.08520754113935484,0.15667089450178573,0.12522674466666664,0.09963266294344826,0.13471321590930233,0.10512373916168224,0.06263907547333335,0.11505531212647058,0.11460263686027027,0.11823671848093749,0.10529566978571428
Voted in Last Communce People's Council Election,Tỷ lệ người trả lời đã tham gia bầu cử đại biểu Hội đồng Nhân dân lần gần đây nhất (%)*,0%-100%,0.7494521737,0.7020648718,0.6883493276352941,0.6255906013705882,0.5745406747,0.7731932402,0.7555757761,0.7334955474999999,0.8232610226,,0.705382883525,0.7863673585117648,0.7434811999341464,0.7016458455343749,0.7697709799026317,0.6619997621,0.6669226289,0.8054613471,0.7034785970874999,0.7237651348,0.6147243910444443,0.6284569700666668,0.6444230048684211,0.5906665017548387,0.7172345987571429,0.6450812076090909,0.5645082243413794,0.5305252657046511,0.5685604854887851,0.5418927759939394,0.4897697322411764,0.4794601194216216,0.5017517618624999,
Voted in Last National Assembly Election,Tỷ lệ người trả lời đã tham gia bầu cử đại biểu Quốc hội lần gần đây nhất (%)*,0%-100%,0.7478628159,0.6515446305,0.7302409831294117,0.6366093544294117,0.6530224085,0.6873217821,0.5729452968,0.7187913726411764,0.872356832,,0.6845495303249999,0.6964191636588236,0.6821561005146343,0.7420283220562499,0.6925208929631579,0.6217256188,0.5337913632,0.628063798,0.6490237712687499,0.6459160447,0.5436322623000001,0.5492752790666666,0.5984793995631579,0.5912359645258064,0.7573815584500001,0.5977192466878789,0.5038257724172415,0.5673576455162791,0.45771271041869166,0.5189302364969698,0.4449463819823529,0.42828548354324325,0.5571217760187499,
Village Chief Elected,Tỷ lệ người trả lời cho biết trưởng thôn/tổ trưởng tổ dân phố là do dân bầu (%),0%-100%,0.8201454878,0.8499073386,0.8425441208764706,0.8608221376647058,0.884368062,0.8848540187,0.7850305438,0.9244763079882353,0.8688124418,,0.8732433369083332,0.9034673957441176,0.7979545622439025,0.8825579509,0.8779452584684211,0.8789572716,0.8428156972,0.9417626262,0.9182012341749999,0.9009740353,0.8760779168999998,0.8067633509333333,0.8578686839736843,0.897384653183871,0.8157141676607144,0.8050720167878789,0.7528055741620691,0.673641075904651,0.665441793835514,0.7735707561181818,0.7002957568117647,0.7737406604783784,0.7756079472812499,0.7494033489428571
